,model_name,window_size,units,batch_size,learning_rate,dense_units,dropout_rate,best_val_loss,best_epoch,final_train_loss,epochs,time
333,lstm_dense,12,32,32,0.01,128.0,,0.14051513373851776,20,0.027047166600823402,30,4.01376748085022
334,lstm_dense,12,64,32,0.01,128.0,,0.08503985404968262,24,0.01725093461573124,34,4.5716164112091064
335,lstm_dense,12,128,32,0.01,128.0,,0.05011223256587982,23,0.013282432220876217,33,4.868879556655884
336,lstm_dropout,12,32,4,0.005,64.0,0.05,0.06229515001177788,17,0.015667226165533066,27,5.8151655197143555
337,lstm_dropout,12,64,4,0.005,64.0,0.05,0.05336352810263634,15,0.01906452514231205,25,5.646057605743408
338,lstm_dropout,12,128,4,0.005,64.0,0.05,0.0513625331223011,21,0.015105937607586384,31,8.015735626220703
339,lstm_dropout,12,32,4,0.01,64.0,0.05,0.056905508041381836,20,0.016506250947713852,30,6.137884616851807
340,lstm_dropout,12,64,4,0.01,64.0,0.05,0.0422949492931366,33,0.012859047390520573,43,8.638301610946655
341,lstm_dropout,12,128,4,0.01,64.0,0.05,0.02227792702615261,28,0.007259704172611237,38,9.352327823638916
342,lstm_dropout,12,32,4,0.005,64.0,0.1,0.05812767520546913,27,0.014737394638359547,37,7.028937339782715
343,lstm_dropout,12,64,4,0.005,64.0,0.1,0.05511556565761566,18,0.01888253353536129,28,6.250997543334961
344,lstm_dropout,12,128,4,0.005,64.0,0.1,0.04042740538716316,24,0.017854614183306694,34,8.459570407867432
345,lstm_dropout,12,32,4,0.01,64.0,0.1,0.048914890736341476,18,0.015145309269428253,28,5.710538625717163
346,lstm_dropout,12,64,4,0.01,64.0,0.1,0.04562978819012642,37,0.012381825596094131,47,9.276356220245361
347,lstm_dropout,12,128,4,0.01,64.0,0.1,0.04661918058991432,38,0.012597928754985332,48,11.147891521453857
348,lstm_dropout,12,32,4,0.005,64.0,0.2,0.05775256082415581,12,0.02168050967156887,22,4.932962894439697
349,lstm_dropout,12,64,4,0.005,64.0,0.2,0.04224859178066254,18,0.022709200158715248,28,6.241241455078125
